Include;ConceptName;Synonyms;Symbol;Description;WordsDes;Definition;WordsDef;Instances;ClassAttributes;InstanceAttributes;TexSyn;TexAcr;TexDesc;TexDef;TexIns;TexCAT;TexIAT;TexName
1;Plan;;;A plan is a finite set of actions that leads to a specified goal. An optimal plan cannot be made shorter if the same goal is retained in the process. The plan concept is especially useful when observing \ac{BDI} agents, since it is driven by agents' desires and intentions. ;64;A plan is a finite set of actions that leads to a specified goal.;17;How to solve the Quest for the DragonEgg;;;;;\item[\textbf{DES}] A plan is a finite set of actions that leads to a specified goal. An optimal plan cannot be made shorter if the same goal is retained in the process. The plan concept is especially useful when observing \ac{BDI} agents, since it is driven by agents' desires and intentions. ;\item[\textbf{DEF}] A plan is a finite set of actions that leads to a specified goal.;\item[\textbf{INS}] How to solve the Quest for the DragonEgg;;;Plan
1;Process;Organisational Processes;P;A process is in the context of this document defined as a set of atomic actions. Every process itself can be a part of another process, thus creating the recursive relation. A process can be performed in order for a goal to be met. It represents an activity or a procedure of an organisation \cite{Schatten2016roadmapIoE}.;64;A set of connected atomic actions.;17;RandomWalk;;;\item[\textbf{SYN}] Organisational Processes;(P);\item[\textbf{DES}] A process is in the context of this document defined as a set of atomic actions. Every process itself can be a part of another process, thus creating the recursive relation. A process can be performed in order for a goal to be met. It represents an activity or a procedure of an organisation \cite{Schatten2016roadmapIoE}.;\item[\textbf{DEF}] A set of connected atomic actions.;\item[\textbf{INS}] RandomWalk;;;Process
1;Quest;;Q;A quest is a similar to a goal, but it has a defined beginning and a defined end, i.e. a starting situation, and an ending situation\footnote{https://medium.com/the-mission/why-you-should-change-your-goals-into-quests-2467bbef9867}. In the context of \acp{MMORPG}, a quest is what drives a story, and, in principle, motivates the player to continue playing the game. Furthermore, a quest is often given to the player by an in-game character. A quest usually has various stages, and represents a challenge for the given player, thus embarking them on an adventure. ;64;A quest is similar to a goal, but has a defined starting and ending situations.;17;The Quest for the Dragon Egg;;;;(Q);\item[\textbf{DES}] A quest is a similar to a goal, but it has a defined beginning and a defined end, i.e. a starting situation, and an ending situation\footnote{https://medium.com/the-mission/why-you-should-change-your-goals-into-quests-2467bbef9867}. In the context of \acp{MMORPG}, a quest is what drives a story, and, in principle, motivates the player to continue playing the game. Furthermore, a quest is often given to the player by an in-game character. A quest usually has various stages, and represents a challenge for the given player, thus embarking them on an adventure. ;\item[\textbf{DEF}] A quest is similar to a goal, but has a defined starting and ending situations.;\item[\textbf{INS}] The Quest for the Dragon Egg;;;Quest
1;Role;;R;In the context of this document, a role is defined as a set of normative rules that are applicable to a particular part of the given organisation. Such normative rules are parts of the organisation's normative system, and can be grouped by specific criteria, thus forming roles. Roles are played by agents. When an agent plays a role, the role's constraints are applied to them, therefore constraining their possible actions, their perceivable goals, and their possibilities in general.;64;A role is a set of norms with a common denominator.;17;Wizard, Warrior, Ranged, Rogue;;isRoleIn, isRoleOf;;(R);\item[\textbf{DES}] In the context of this document, a role is defined as a set of normative rules that are applicable to a particular part of the given organisation. Such normative rules are parts of the organisation's normative system, and can be grouped by specific criteria, thus forming roles. Roles are played by agents. When an agent plays a role, the role's constraints are applied to them, therefore constraining their possible actions, their perceivable goals, and their possibilities in general.;\item[\textbf{DEF}] A role is a set of norms with a common denominator.;\item[\textbf{INS}] Wizard, Warrior, Ranged, Rogue;;\item[\textbf{IAT}] isRoleIn, isRoleOf;Role
1;Rule;;;A rule is an atomic building block of a normative system. Rules are usually built in a general if-then form, meaning that two statements are connected with a causal link, thus regulating what happens (then part: consequent) if something else happens beforehand (if part: antecedent). Other forms of rules are possible as well, but are not used as often. For the most part, rules pose constraints on the given subject. Rules are commonly used for devising appropriate logical conditions for introducing modalities. \cite{Mahmoud2014};64;Rules are elementary forms of constraints in normative systems, as they pose a basic aspect of defining standards.;17;;;;;;\item[\textbf{DES}] A rule is an atomic building block of a normative system. Rules are usually built in a general if-then form, meaning that two statements are connected with a causal link, thus regulating what happens (then part: consequent) if something else happens beforehand (if part: antecedent). Other forms of rules are possible as well, but are not used as often. For the most part, rules pose constraints on the given subject. Rules are commonly used for devising appropriate logical conditions for introducing modalities. \cite{Mahmoud2014};\item[\textbf{DEF}] Rules are elementary forms of constraints in normative systems, as they pose a basic aspect of defining standards.;;;;Rule
1;Situated Organisational Unit;;;An organisational unit that is tied to a specific \ac{IVE}, or a specific geographic or otherwise place, is a situated organisational unit. Furthermore, such an organisational unit has some situated norms that refer to it. The place that is essential to the situated relation of a situated organisational unit can be physical or digital, but can usually be represented visually, following the description of an inhabitant agent.;64;Every organisational unit that is tied to a location through a situated norm is considered a situated organisational unit.;17;;;;;;\item[\textbf{DES}] An organisational unit that is tied to a specific \ac{IVE}, or a specific geographic or otherwise place, is a situated organisational unit. Furthermore, such an organisational unit has some situated norms that refer to it. The place that is essential to the situated relation of a situated organisational unit can be physical or digital, but can usually be represented visually, following the description of an inhabitant agent.;\item[\textbf{DEF}] Every organisational unit that is tied to a location through a situated norm is considered a situated organisational unit.;;;;SituatedOrganisationalUnit
1;Strategic Alliance;;;An alliance that is aimed at forming long-lasting partnerships consisting of organisations of various forms is dubbed a strategic alliance. A strategic alliance is formed around a strategy as a long-term objective that is shared amongst the strategic alliance members. Norms and regulations governing the expected behaviour within the strategic alliance are expected to be accepted by all the members, old and new alike.;64;Strategic alliance is a form of a long-lasting partnership of organisations of various forms, formed around a shared strategy, or a strategic goal.;17;;;;;;\item[\textbf{DES}] An alliance that is aimed at forming long-lasting partnerships consisting of organisations of various forms is dubbed a strategic alliance. A strategic alliance is formed around a strategy as a long-term objective that is shared amongst the strategic alliance members. Norms and regulations governing the expected behaviour within the strategic alliance are expected to be accepted by all the members, old and new alike.;\item[\textbf{DEF}] Strategic alliance is a form of a long-lasting partnership of organisations of various forms, formed around a shared strategy, or a strategic goal.;;;;StrategicAlliance
1;Strategy;Organisational Strategy;;A strategy is, in the context of planning and shared organisational values, a long-term objective that is specified mosotly as a vision. It may consist of a number of objectives, quests, and similar. Strategy is therefore tentative in the context of plans of achieving it, but is versatile in terms of temporal likeness to change. Since it represents a long-term planning concept, a strategy is the main driving force of strategic alliances as agent coalitions meant to provide long-term suport to its members.;64;\textit{Strategy defines the long term objectives of an organization, action plans for their realization as well as tools on how to measure success.} \cite{Schatten2016roadmapIoE,Schatten2014towardsLSMAS};17;;;;\item[\textbf{SYN}] Organisational Strategy;;\item[\textbf{DES}] A strategy is, in the context of planning and shared organisational values, a long-term objective that is specified mosotly as a vision. It may consist of a number of objectives, quests, and similar. Strategy is therefore tentative in the context of plans of achieving it, but is versatile in terms of temporal likeness to change. Since it represents a long-term planning concept, a strategy is the main driving force of strategic alliances as agent coalitions meant to provide long-term suport to its members.;\item[\textbf{DEF}] \textit{Strategy defines the long term objectives of an organization, action plans for their realization as well as tools on how to measure success.} \cite{Schatten2016roadmapIoE,Schatten2014towardsLSMAS};;;;Strategy
1;Super Structure;;;When organisations form structures comprising other organisations, a super-structure is formed. In the context of this document, a super-structure is thus described as an organisation of organisations, esentially spanning further than the usual reaches of a given average organisation. Such an inter-organisational structure is formed above the conventional organisational structure.;64;An inter-organisational structure formed above the conventional organisational structure.;17;;;;;;\item[\textbf{DES}] When organisations form structures comprising other organisations, a super-structure is formed. In the context of this document, a super-structure is thus described as an organisation of organisations, esentially spanning further than the usual reaches of a given average organisation. Such an inter-organisational structure is formed above the conventional organisational structure.;\item[\textbf{DEF}] An inter-organisational structure formed above the conventional organisational structure.;;;;SuperStructure
1;Task;;;A task is the building block of a quest, i.e. its elementary part. A quest is built of atomic tasks that are easier to follow in execution phase, rather than the overview provided by the main definition of a quest. In \acp{MMORPG} a quest could demand an item to be retrieved, yet such a simple-sounding quest could consist of various tasks that have to be fulfilled in order for the main quest to be finished. The relation of quest and task concepts can be recursive\footnote{define further, i.e. a main quest in a game can consist of several tasks, which can be quests themselves}.;64;A task is the building block of a quest.;17;;;;;;\item[\textbf{DES}] A task is the building block of a quest, i.e. its elementary part. A quest is built of atomic tasks that are easier to follow in execution phase, rather than the overview provided by the main definition of a quest. In \acp{MMORPG} a quest could demand an item to be retrieved, yet such a simple-sounding quest could consist of various tasks that have to be fulfilled in order for the main quest to be finished. The relation of quest and task concepts can be recursive\footnote{define further, i.e. a main quest in a game can consist of several tasks, which can be quests themselves}.;\item[\textbf{DEF}] A task is the building block of a quest.;;;;Task
1;Time Dependent Norm;;;A time dependent norm is essentially a norm, but with an added temporal constraint. Particularly, a time dependent norm is constrained to a specific period in time, be it for its designated activity period, period during which the given norm is applicable, or simply the timeframe or a deadline when a change of the norm, or caused by the norm, is to be expected.;64;A norm that is dependent on the temporal aspect of the world is a time dependent norm.;17;Every 24 hours the Dragon Egg item is created again, rendering the old one useless.;;;;;\item[\textbf{DES}] A time dependent norm is essentially a norm, but with an added temporal constraint. Particularly, a time dependent norm is constrained to a specific period in time, be it for its designated activity period, period during which the given norm is applicable, or simply the timeframe or a deadline when a change of the norm, or caused by the norm, is to be expected.;\item[\textbf{DEF}] A norm that is dependent on the temporal aspect of the world is a time dependent norm.;\item[\textbf{INS}] Every 24 hours the Dragon Egg item is created again, rendering the old one useless.;;;TimeDependentNorm
1;Workspace;;W;A workspace is the complete environment of a given system, including all the agents, artefacts, etc. What sets the concept of a workspace apart from the concept of an environment is the extent of the involved concepts, i.e. a workspace contains all the elements of an organisation and the whole system, while environment comprises only the elements that are external to the given organisation. It is worth noting that elements of the environment are an integral part of the whole system, since the life and activities of the given organisation are influenced by them.;64;A workspace is the union of all the elements of a system, including agents, artefacts, etc.;17;;;;;(W);\item[\textbf{DES}] A workspace is the complete environment of a given system, including all the agents, artefacts, etc. What sets the concept of a workspace apart from the concept of an environment is the extent of the involved concepts, i.e. a workspace contains all the elements of an organisation and the whole system, while environment comprises only the elements that are external to the given organisation. It is worth noting that elements of the environment are an integral part of the whole system, since the life and activities of the given organisation are influenced by them.;\item[\textbf{DEF}] A workspace is the union of all the elements of a system, including agents, artefacts, etc.;;;;Workspace
